iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_Validator,step_3_selection_good_graphs_description_node_type_counts_True_pass,step_3_selection_good_graphs_description_node_type_counts_False_pass,step_3_selection_good_graphs_description_node_type_counts_Split,step_3_selection_good_graphs_description_node_type_counts_Decompose_2,step_3_selection_good_graphs_description_node_type_counts_Decompose_3,step_3_selection_good_graphs_description_node_type_counts_Decompose_4,step_3_selection_good_graphs_description_node_type_counts_Combine_all,step_3_selection_good_graphs_description_node_type_counts_Combine_any,step_3_selection_good_graphs_description_node_type_counts_Solver,step_3_selection_good_graphs_description_node_type_counts_Python_solver,step_3_selection_good_graphs_description_node_type_counts_Explain,step_3_selection_good_graphs_description_node_type_counts_Extract_topic,step_3_selection_good_graphs_description_node_type_counts_START,step_3_selection_good_graphs_description_node_type_counts_END,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_samples,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_method,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
0,2025-11-28 11:18:12.609492,generation,9.345,6648,random,prediction,9.6691,6648,0.4770528972148895,0.30997198820114136,0.409246320489942,0.056285326904987366,0.0015,selection,10,990,152,152,152,480,426,502,317,1725,152,2606,3274,1387,1365,990,990,evaluation,0.001,10,0.5167475367682213,0.3045884404383106,0.41763410601402784,0.07425634861892137,0.09510309173726364,0.0001,synthetic_heuristic,training_data_update,10,20,retraining,20,0.00864384789019823
1,2025-11-28 11:18:37.330379,generation,10.9657,6694,random,prediction,9.8826,6694,0.43121641874313354,0.3110833168029785,0.39309964657791485,0.040021496527263396,0.0015,selection,10,1000,153,153,153,488,430,505,319,1742,153,2596,3337,1399,1378,1000,1000,evaluation,0.0,10,0.6226634677873653,0.2713447408634154,0.4180380589368774,0.1243751230879576,0.1376659812013285,0.0,synthetic_heuristic,training_data_update,10,30,retraining,30,0.010228649713099003
2,2025-11-28 11:19:02.511291,generation,10.3795,6633,random,prediction,9.8088,6633,0.42883527278900146,0.3045159876346588,0.3905658523241679,0.0407196593030975,0.0015,selection,10,1000,153,153,153,490,428,506,319,1743,153,2585,3351,1394,1380,1000,1000,evaluation,0.0,10,0.5749692657420364,0.29358818035984624,0.4361887812752149,0.08841554609673608,0.09740218048439798,0.0,synthetic_heuristic,training_data_update,10,40,retraining,40,0.010245171375572681
3,2025-11-28 11:19:26.687633,generation,8.9012,6665,random,prediction,9.7868,6665,0.432934045791626,0.32643601298332214,0.4026151342670987,0.03572445170766794,0.0015,selection,10,1000,157,157,157,488,431,505,317,1741,157,2557,3378,1400,1402,1000,1000,evaluation,0.0,10,0.5568792767054558,0.2739940279151992,0.4172211758344546,0.08488619899063224,0.10385326986871046,0.0,synthetic_heuristic,training_data_update,10,50,retraining,50,0.009647209197282791
4,2025-11-28 11:19:52.383476,generation,10.3224,6651,random,prediction,9.4547,6651,0.42670902609825134,0.3122309446334839,0.3907781716818703,0.03706401218863542,0.0014,selection,10,1000,161,161,161,487,431,505,316,1739,161,2533,3404,1401,1402,1000,1000,evaluation,0.0,10,0.5264890857657473,0.2893939877366676,0.41213288704087175,0.07437549544646878,0.09872346247930265,0.0,synthetic_heuristic,training_data_update,10,60,retraining,60,0.009080547218521437
5,2025-11-28 11:20:20.206949,generation,10.3836,6620,random,prediction,10.3024,6620,0.42811957001686096,0.3133297562599182,0.391631834348523,0.03684059966214241,0.0016,selection,10,1000,157,157,157,490,429,508,318,1745,157,2521,3427,1404,1404,1000,1000,evaluation,0.0,10,0.6133516073048048,0.36716638289088555,0.48295908752291367,0.08373257377174044,0.08394061588048154,0.0,synthetic_heuristic,training_data_update,10,70,retraining,70,0.009089118055999278
6,2025-11-28 11:20:47.104433,generation,10.7433,6687,random,prediction,9.32,6687,0.43899813294410706,0.3245684504508972,0.40319843411320827,0.03710433314334035,0.0014,selection,10,1000,163,163,163,477,442,514,313,1746,163,2511,3447,1391,1379,1000,1000,evaluation,0.001,10,0.5724168288656319,0.28753115870874874,0.414068433834461,0.08532231605951779,0.10605159237409302,0.0001,synthetic_heuristic,training_data_update,10,80,retraining,80,0.008929820824414491
7,2025-11-28 11:21:11.706637,generation,8.2539,6677,random,prediction,9.1954,6677,0.4310522675514221,0.3207029104232788,0.39908538395654697,0.036546303031064264,0.0014,selection,10,1000,163,163,163,475,445,514,312,1746,163,2491,3465,1386,1381,1000,1000,evaluation,0.0,10,0.5595229166152291,0.2706301968145254,0.4423734159356229,0.08836568036558946,0.09492712935864292,0.0,synthetic_heuristic,training_data_update,10,90,retraining,90,0.008841134504311614
8,2025-11-28 11:21:40.024869,generation,11.1304,6613,random,prediction,9.1505,6613,0.432744562625885,0.3166399896144867,0.3937566111727019,0.03937747613960165,0.0014,selection,10,1000,163,163,163,475,443,513,313,1744,163,2481,3472,1392,1383,1000,1000,evaluation,0.0,10,0.5978687161940827,0.3189008127249012,0.43661936771298526,0.0758097261038947,0.08591847810528827,0.0,synthetic_heuristic,training_data_update,10,100,retraining,100,0.008471556454896927
9,2025-11-28 11:22:08.631691,generation,10.5252,6673,random,prediction,9.3769,6673,0.428310751914978,0.31707435846328735,0.40179704650220494,0.036550858462519674,0.0014,selection,10,1000,162,162,162,474,439,511,323,1747,162,2485,3490,1386,1377,1000,1000,evaluation,0.0,10,0.5607177808658661,0.2886606891064274,0.419503896878064,0.09431935732671318,0.11048994798755289,0.0,synthetic_heuristic,training_data_update,10,110,retraining,110,0.008410982889207927
