graph_index,gnn_predicted_score,llm_actual_score,error,absolute_error,num_nodes,num_edges,evaluation_time
3,0.9948614820523219,0.8227500000000001,-0.17211148205232185,0.17211148205232185,7,8,2.015628695487976
4,0.993418121631813,0.8227500000000001,-0.17066812163181289,0.17066812163181289,8,10,3.2821397304534914
14,0.77259361743927,0.7854372341406103,0.012843616701340266,0.012843616701340266,8,10,4.423479628562927
0,0.9996555459791715,0.7765000000000001,-0.22315554597917142,0.22315554597917142,8,10,1.7257746696472167
7,0.9835484324796219,0.7604583333333335,-0.2230900991462884,0.2230900991462884,8,8,4.703666353225708
12,0.7784093022346497,0.757638888888889,-0.020770413345760685,0.020770413345760685,8,10,3.4714506387710573
5,0.9888769477299618,0.7225993589743589,-0.2662775887556029,0.2662775887556029,8,8,7.994181656837464
13,0.7784093022346497,0.7138247986330988,-0.06458450360155088,0.06458450360155088,8,10,3.6384291648864746
6,0.9855394324560105,0.7123863636363637,-0.27315306881964685,0.27315306881964685,8,8,2.017091393470764
10,0.778885543346405,0.7106439393939394,-0.06824160395246559,0.06824160395246559,8,10,1.6151479482650757
8,0.9812763201110987,0.659,-0.32227632011109864,0.32227632011109864,8,8,13.571807026863098
11,0.7784093022346497,0.6454500000000001,-0.13295930223464958,0.13295930223464958,8,10,3.4441816568374635
9,0.9800482373459359,0.6230576923076924,-0.35699054503824357,0.35699054503824357,8,8,11.05385422706604
1,0.9976112537124616,0.6181704545454545,-0.3794407991670071,0.3794407991670071,7,8,1.4703787326812745
2,0.9950874863651781,0.16574039796059833,-0.8293470884045797,0.8293470884045797,8,8,4.372516989707947
